x,y
-227.22,19.21
-236.6,19.21
-245.97,19.21
-272.84,19.21
-282.22,19.21
-291.59,19.21
-300.97,19.21
-310.34,19.21
-319.72,19.21
-329.09,19.21
-338.47,19.21
-347.84,19.21
-357.22,19.21
-366.59,19.21
-375.97,19.21
-385.34,19.21
-394.72,19.21
-404.09,19.21
-413.47,19.21
-255.35,9.84
-263.47,9.84
-152.22,9.84
-161.6,9.84
-170.97,9.84
-180.35,9.84
-189.72,9.84
-199.1,9.84
-208.47,9.84
-217.85,9.84
-227.22,9.84
-236.6,9.84
-245.97,9.84
-272.84,9.84
-282.22,9.84
-291.59,9.84
-300.97,9.84
-310.34,9.84
-319.72,9.84
-329.09,9.84
-338.47,9.84
-347.84,9.84
-357.22,9.84
-366.59,9.84
-375.97,9.84
-385.34,9.84
-394.72,9.84
-404.09,9.84
-413.47,9.84
-255.35,0.46
-255.35,-8.91
-255.35,-18.29
-255.35,-27.66
-255.35,-37.04
-255.35,-46.41
-255.35,-55.79
-255.35,-65.16
-255.35,-74.54
-255.35,-83.91
-255.35,-93.29
-255.35,-102.66
-255.35,-112.04
-263.47,0.46
-263.47,-8.91
-263.47,-18.29
-263.47,-27.66
-263.47,-37.04
-263.47,-46.41
-263.47,-55.79
-263.47,-65.16
-263.47,-74.54
-263.47,-83.91
-263.47,-93.29
-263.47,-102.66
-263.47,-112.04
-479.09,-27.66
-488.84,-27.66
-479.09,-37.04
-488.84,-37.04
-479.09,-46.41
-488.84,-46.41
-479.09,-55.79
-488.84,-55.79
-479.09,-65.16
-488.84,-65.16
-479.09,-74.54
-488.84,-74.54
-479.09,-83.91
-488.84,-83.91
-479.09,-93.29
-488.84,-93.29
-479.09,-102.66
-488.84,-102.66
-479.09,-112.04
-488.84,-112.04
536.65,0.46
527.27,0.46
517.9,0.46
508.52,0.46
499.15,0.46
489.77,0.46
443.41,0.46
434.04,0.46
424.66,0.46
415.29,0.46
406.06,0.46
396.68,0.46
387.31,0.46
377.93,0.46
368.56,0.46
359.18,0.46
349.81,0.46
340.43,0.46
331.06,0.46
303.73,0.46
294.36,0.46
284.98,0.46
275.61,0.46
266.23,0.46
256.86,0.46
247.48,0.46
238.11,0.46
228.73,0.46
164.41,0.46
155.03,0.46
145.66,0.46
136.28,0.46
126.91,0.46
117.53,0.46
108.16,0.46
98.78,0.46
89.41,0.46
80.03,0.46
70.66,0.46
61.28,0.46
34.17,0.46
24.79,0.46
15.42,0.46
6.04,0.46
-3.33,0.46
-12.71,0.46
-22.08,0.46
-31.46,0.46
-152.22,0.46
-161.6,0.46
-170.97,0.46
-180.35,0.46
-189.72,0.46
-199.1,0.46
-208.47,0.46
-217.85,0.46
-227.22,0.46
-236.6,0.46
-245.97,0.46
-272.84,0.46
-282.22,0.46
-291.59,0.46
-300.97,0.46
-310.34,0.46
-319.72,0.46
-329.09,0.46
-338.47,0.46
-347.84,0.46
-357.22,0.46
-366.59,0.46
-375.97,0.46
-385.34,0.46
-394.72,0.46
-404.09,0.46
-413.47,0.46
536.65,-8.91
527.27,-8.91
517.9,-8.91
508.52,-8.91
499.15,-8.91
489.77,-8.91
443.41,-8.91
434.04,-8.91
424.66,-8.91
415.29,-8.91
406.06,-8.91
396.68,-8.91
387.31,-8.91
377.93,-8.91
368.56,-8.91
359.18,-8.91
349.81,-8.91
340.43,-8.91
